ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002975.SZ,20250714,33.57,33.84,33.3,33.71,33.57,0.14,0.417,17153.36,57524.74
002975.SZ,20250715,33.5,35.25,33.4,34.69,33.71,0.98,2.9071,49743.27,171600.158
002975.SZ,20250716,35.31,35.66,34.77,35.06,34.69,0.37,1.0666,50873.74,179212.422
002975.SZ,20250717,34.91,35.88,34.46,35.4,35.06,0.34,0.9698,40771.53,143511.301
002975.SZ,20250718,35.3,35.45,34.71,34.81,35.4,-0.59,-1.6667,22494.4,78665.307
002975.SZ,20250721,34.82,35.06,34.47,34.81,34.81,0.0,0.0,21193.23,73654.163
002975.SZ,20250722,34.79,35.18,34.52,34.77,34.81,-0.04,-0.1149,21644.85,75432.536
002975.SZ,20250723,34.6,34.77,34.02,34.1,34.77,-0.67,-1.9269,20841.74,71329.956
002975.SZ,20250724,34.1,35.2,34.06,34.71,34.1,0.61,1.7889,21753.88,75482.856
002975.SZ,20250725,34.6,38.18,34.6,38.18,34.71,3.47,9.9971,94582.34,348657.736
002975.SZ,20250728,37.92,40.16,37.84,39.99,38.18,1.81,4.7407,153687.61,605104.792
002975.SZ,20250729,39.45,40.68,39.19,39.57,39.99,-0.42,-1.0503,82187.93,326009.944
002975.SZ,20250730,39.55,41.27,38.95,39.93,39.57,0.36,0.9098,83269.9,334950.2
002975.SZ,20250731,42.63,43.92,39.11,39.63,39.93,-0.3,-0.7513,237983.51,1019151.281
002975.SZ,20250801,38.92,41.53,38.82,39.7,39.63,0.07,0.1766,140243.76,564540.936
002975.SZ,20250804,39.0,42.26,38.55,41.84,39.7,2.14,5.3904,119493.05,485272.489
002975.SZ,20250805,42.06,42.99,41.45,42.31,41.84,0.47,1.1233,109124.81,459897.696
002975.SZ,20250806,42.33,46.54,42.33,46.54,42.31,4.23,9.9976,137379.4,612615.326
002975.SZ,20250807,46.55,50.9,45.76,49.1,46.54,2.56,5.5006,188462.76,911921.975
002975.SZ,20250808,47.0,48.24,46.0,46.31,49.1,-2.79,-5.6823,120906.63,569755.979
002975.SZ,20250811,45.89,45.99,43.51,44.01,46.31,-2.3,-4.9665,141401.92,626433.134
002975.SZ,20250812,44.0,44.13,43.18,44.0,44.01,-0.01,-0.0227,72594.57,316184.025
002975.SZ,20250813,44.26,48.4,43.18,48.4,44.0,4.4,10.0,135013.83,619033.449
002975.SZ,20250814,50.04,52.15,47.0,48.5,48.4,0.1,0.2066,182739.68,902478.33
002975.SZ,20250815,48.8,50.38,47.51,50.05,48.5,1.55,3.1959,122710.14,605813.746
002975.SZ,20250818,51.1,52.99,49.84,50.29,50.05,0.24,0.4795,139570.41,717447.945
002975.SZ,20250819,50.01,51.62,49.34,50.4,50.29,0.11,0.2187,86188.61,434135.508
002975.SZ,20250820,49.0,50.21,47.85,48.26,50.4,-2.14,-4.246,87246.79,424328.693
002975.SZ,20250821,48.12,48.45,46.8,47.76,48.26,-0.5,-1.0361,60086.16,286174.69
002975.SZ,20250822,47.79,48.0,46.79,46.83,47.76,-0.93,-1.9472,59871.53,281958.028
002975.SZ,20250825,47.25,49.98,47.0,48.02,46.83,1.19,2.5411,94092.71,455462.042
002975.SZ,20250826,47.11,48.03,47.11,47.44,48.02,-0.58,-1.2078,45373.54,215740.45
002975.SZ,20250827,47.4,48.86,46.3,46.3,47.44,-1.14,-2.403,59605.19,284433.479
002975.SZ,20250828,45.97,47.75,45.31,47.71,46.3,1.41,3.0454,59701.66,278419.949
002975.SZ,20250829,47.0,48.16,46.5,48.0,47.71,0.29,0.6078,49309.0,234109.148
002975.SZ,20250901,52.8,52.8,52.8,52.8,48.0,4.8,10.0,39204.17,206998.018
002975.SZ,20250902,58.08,58.08,58.08,58.08,52.8,5.28,10.0,20087.4,116667.619
002975.SZ,20250903,63.89,63.89,59.93,63.89,58.08,5.81,10.0034,252853.94,1592918.385
002975.SZ,20250904,65.12,67.99,60.61,62.79,63.89,-1.1,-1.7217,281741.04,1803908.002
002975.SZ,20250905,61.8,62.05,56.53,59.6,62.79,-3.19,-5.0804,194036.23,1137607.985
002975.SZ,20250908,63.77,63.77,56.0,57.6,59.6,-2.0,-3.3557,152322.37,889137.787
002975.SZ,20250909,57.01,58.37,55.21,56.0,57.6,-1.6,-2.7778,93470.56,529044.928
002975.SZ,20250910,57.75,61.6,56.1,61.6,56.0,5.6,10.0,158094.9,935108.608
002975.SZ,20250911,62.06,63.55,60.3,62.68,61.6,1.08,1.7532,192172.31,1190990.902
002975.SZ,20250912,63.31,64.47,60.89,61.93,62.68,-0.75,-1.1966,147058.45,924751.406
002975.SZ,20250915,60.4,61.94,59.93,61.06,61.93,-0.87,-1.4048,92452.67,563205.12
002975.SZ,20250916,61.0,63.68,60.0,61.78,61.06,0.72,1.1792,110684.32,687458.47
002975.SZ,20250917,61.21,64.35,60.5,63.44,61.78,1.66,2.687,127248.78,795400.516
002975.SZ,20250918,66.31,69.78,64.5,69.78,63.44,6.34,9.9937,215828.78,1476851.506
002975.SZ,20250919,68.8,68.8,62.8,62.8,69.78,-6.98,-10.0029,184434.82,1197465.372
002975.SZ,20250922,62.81,64.38,62.05,63.9,62.8,1.1,1.7516,95632.85,606987.579
002975.SZ,20250923,65.5,65.8,59.5,60.9,63.9,-3.0,-4.6948,105953.2,655746.28
002975.SZ,20250924,60.01,62.3,58.81,61.84,60.9,0.94,1.5435,77671.92,476860.521
002975.SZ,20250925,61.84,64.32,61.66,62.22,61.84,0.38,0.6145,58300.23,365317.293
002975.SZ,20250926,61.5,62.45,59.76,59.76,62.22,-2.46,-3.9537,54568.64,330883.468
002975.SZ,20250929,59.05,61.2,59.05,60.45,59.76,0.69,1.1546,33719.64,202526.325
002975.SZ,20250930,60.6,61.5,59.21,60.32,60.45,-0.13,-0.2151,46448.0,280085.854
002975.SZ,20251009,60.02,60.82,58.82,59.7,60.32,-0.62,-1.0279,47799.11,285966.841
002975.SZ,20251010,59.22,62.22,58.88,59.02,59.7,-0.68,-1.139,45976.0,277852.427
002975.SZ,20251013,54.43,58.35,54.0,57.9,59.02,-1.12,-1.8977,48769.56,275980.727
002975.SZ,20251014,58.01,58.8,55.59,55.84,57.9,-2.06,-3.5579,41993.0,238687.396
002975.SZ,20251015,56.84,57.4,55.6,57.4,55.84,1.56,2.7937,31807.37,180663.645
002975.SZ,20251016,57.4,57.42,55.91,56.31,57.4,-1.09,-1.899,22589.4,128026.728
002975.SZ,20251017,56.34,56.48,53.41,53.48,56.31,-2.83,-5.0258,36203.79,196856.036
002975.SZ,20251020,54.25,55.4,54.03,54.5,53.48,1.02,1.9073,25711.92,140731.164
002975.SZ,20251021,54.8,56.66,54.34,56.05,54.5,1.55,2.844,33854.0,188247.253
002975.SZ,20251022,55.86,56.3,55.25,55.58,56.05,-0.47,-0.8385,19529.82,108589.47
002975.SZ,20251023,55.03,55.67,53.82,54.95,55.58,-0.63,-1.1335,21271.0,115618.893
002975.SZ,20251024,54.9,56.81,54.9,56.6,54.95,1.65,3.0027,29938.82,167884.958
002975.SZ,20251027,58.0,61.08,56.8,59.34,56.6,2.74,4.841,68265.0,402255.735
002975.SZ,20251028,59.35,61.26,59.0,60.88,59.34,1.54,2.5952,54491.0,329548.416
002975.SZ,20251029,60.28,63.21,59.8,62.61,60.88,1.73,2.8417,66299.82,411496.583
002975.SZ,20251030,68.87,68.87,67.8,68.87,62.61,6.26,9.9984,50550.37,348084.885
002975.SZ,20251031,69.98,75.76,65.89,72.27,68.87,3.4,4.9368,190163.59,1334452.992
002975.SZ,20251103,70.88,71.5,67.78,70.5,72.27,-1.77,-2.4491,114414.31,794548.065
002975.SZ,20251104,69.07,71.0,68.5,69.32,70.5,-1.18,-1.6738,70669.77,490722.545
002975.SZ,20251105,66.01,70.02,66.01,69.33,69.32,0.01,0.0144,70944.0,486644.832
002975.SZ,20251106,69.33,76.26,69.33,76.26,69.33,6.93,9.9957,115157.5,849922.251
