ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002594.SZ,20230717,267.0,267.0,262.35,264.49,264.41,0.08,0.0303,78926.63,2086663.751
002594.SZ,20230718,265.25,267.57,260.5,265.48,264.49,0.99,0.3743,98456.48,2603934.532
002594.SZ,20230719,265.49,265.9,262.74,264.83,265.48,-0.65,-0.2448,50250.0,1328126.187
002594.SZ,20230720,265.5,269.5,264.0,264.95,264.83,0.12,0.0453,91270.51,2434017.185
002594.SZ,20230721,264.0,264.8,261.55,264.32,264.95,-0.63,-0.2378,75287.03,1979318.622
002594.SZ,20230724,261.01,262.77,257.49,257.5,264.32,-6.82,-2.5802,95950.37,2491708.306
002594.SZ,20230725,262.68,266.99,262.65,264.59,257.5,7.09,2.7534,173882.84,4604657.752
002594.SZ,20230726,263.76,263.76,260.6,262.09,264.59,-2.5,-0.9449,65864.88,1723363.551
002594.SZ,20230727,264.5,265.77,260.8,261.63,262.09,-0.46,-0.1755,112650.69,2962230.532
002594.SZ,20230728,260.0,267.65,258.22,267.0,260.49,6.51,2.4991,173308.25,4584230.666
002594.SZ,20230731,270.0,276.58,269.88,272.0,267.0,5.0,1.8727,215060.16,5874722.583
002594.SZ,20230801,271.76,272.76,266.5,268.5,272.0,-3.5,-1.2868,120339.93,3239067.594
002594.SZ,20230802,270.7,272.0,266.36,268.0,268.5,-0.5,-0.1862,87393.51,2346829.431
002594.SZ,20230803,267.28,268.48,265.51,268.23,268.0,0.23,0.0858,66169.88,1766952.896
002594.SZ,20230804,268.99,270.07,266.65,268.3,268.23,0.07,0.0261,88053.15,2358257.628
002594.SZ,20230807,267.93,267.93,265.19,266.99,268.3,-1.31,-0.4883,64203.8,1710317.723
002594.SZ,20230808,265.2,266.5,262.51,263.3,266.99,-3.69,-1.3821,91711.88,2419517.105
002594.SZ,20230809,262.0,263.5,260.23,262.9,263.3,-0.4,-0.1519,72499.37,1897124.688
002594.SZ,20230810,263.0,264.87,260.74,262.7,262.9,-0.2,-0.0761,60016.1,1575799.641
002594.SZ,20230811,262.69,262.7,259.01,259.25,262.7,-3.45,-1.3133,86125.28,2242256.361
002594.SZ,20230814,255.0,256.99,243.49,245.82,259.25,-13.43,-5.1803,252890.35,6237439.722
002594.SZ,20230815,245.82,246.13,241.9,244.54,245.82,-1.28,-0.5207,115021.29,2804377.793
002594.SZ,20230816,243.28,245.5,242.21,244.2,244.54,-0.34,-0.139,79979.36,1953463.842
002594.SZ,20230817,243.37,246.34,240.4,246.01,244.2,1.81,0.7412,86835.55,2118628.433
002594.SZ,20230818,245.56,245.56,240.0,240.29,246.01,-5.72,-2.3251,98466.5,2385483.843
002594.SZ,20230821,239.8,239.88,234.05,234.41,240.29,-5.88,-2.447,127879.2,3022536.162
002594.SZ,20230822,237.97,238.5,230.9,234.54,234.41,0.13,0.0555,112115.89,2620973.083
002594.SZ,20230823,234.54,234.54,230.03,230.09,234.54,-4.45,-1.8973,81237.55,1882331.986
002594.SZ,20230824,231.01,237.0,231.01,234.9,230.09,4.81,2.0905,106810.59,2501734.161
002594.SZ,20230825,233.28,234.33,231.5,232.6,234.9,-2.3,-0.9791,66775.26,1554437.027
002594.SZ,20230828,248.0,248.0,234.25,235.53,232.6,2.93,1.2597,133527.36,3189524.811
002594.SZ,20230829,236.81,247.5,236.81,246.71,235.53,11.18,4.7467,213223.46,5201525.92
002594.SZ,20230830,249.33,251.47,247.84,249.8,246.71,3.09,1.2525,152187.35,3798606.951
