ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,raw_close,qfq_multiplier,adjustment,source
002975.SZ,20250714,25.78,25.99,25.58,25.89,25.78,0.11,0.4267,17153.0,57524.74,33.71,0.7680213586,qfq,eastmoney
002975.SZ,20250715,25.73,27.08,25.65,26.65,25.89,0.76,2.9355,49743.0,171600.15773,34.69,0.7682329201,qfq,eastmoney
002975.SZ,20250716,27.12,27.39,26.71,26.93,26.65,0.28,1.0507,50874.0,179212.42208,35.06,0.7681118083,qfq,eastmoney
002975.SZ,20250717,26.82,27.56,26.47,27.19,26.93,0.26,0.9655,40772.0,143511.30121,35.4,0.768079096,qfq,eastmoney
002975.SZ,20250718,27.12,27.23,26.66,26.74,27.19,-0.45,-1.655,22494.0,78665.30738,34.81,0.7681700661,qfq,eastmoney
002975.SZ,20250721,26.75,26.93,26.48,26.74,26.74,0.0,0.0,21193.0,73654.1631,34.81,0.7681700661,qfq,eastmoney
002975.SZ,20250722,26.72,27.02,26.52,26.71,26.74,-0.03,-0.1122,21645.0,75432.53583,34.77,0.7681909692,qfq,eastmoney
002975.SZ,20250723,26.58,26.71,26.13,26.19,26.71,-0.52,-1.9468,20842.0,71329.95637,34.1,0.7680351906,qfq,eastmoney
002975.SZ,20250724,26.19,27.04,26.16,26.66,26.19,0.47,1.7946,21754.0,75482.85608,34.71,0.7680783636,qfq,eastmoney
002975.SZ,20250725,26.58,29.33,26.58,29.33,26.66,2.67,10.015,94582.0,348657.73641,38.18,0.7682032478,qfq,eastmoney
002975.SZ,20250728,29.13,30.86,29.07,30.73,29.33,1.4,4.7733,153688.0,605104.79207,39.99,0.7684421105,qfq,eastmoney
002975.SZ,20250729,30.31,31.26,30.11,30.4,30.73,-0.33,-1.0739,82188.0,326009.94447,39.57,0.7682587819,qfq,eastmoney
002975.SZ,20250730,30.39,31.71,29.93,30.68,30.4,0.28,0.9211,83270.0,334950.19962,39.93,0.7683446031,qfq,eastmoney
002975.SZ,20250731,32.76,33.76,30.05,30.45,30.68,-0.23,-0.7497,237984.0,1019151.28067,39.63,0.7683573051,qfq,eastmoney
002975.SZ,20250801,29.9,31.91,29.83,30.5,30.45,0.05,0.1642,140244.0,564540.93585,39.7,0.7682619647,qfq,eastmoney
002975.SZ,20250804,29.97,32.48,29.62,32.15,30.5,1.65,5.4098,119493.0,485272.48929,41.84,0.7684034417,qfq,eastmoney
002975.SZ,20250805,32.32,33.04,31.85,32.52,32.15,0.37,1.1509,109125.0,459897.69571,42.31,0.7686126211,qfq,eastmoney
002975.SZ,20250806,32.53,35.77,32.53,35.77,32.52,3.25,9.9938,137379.0,612615.32628,46.54,0.7685861624,qfq,eastmoney
002975.SZ,20250807,35.78,39.13,35.17,37.74,35.77,1.97,5.5074,188463.0,911921.97483,49.1,0.7686354379,qfq,eastmoney
002975.SZ,20250808,36.13,37.08,35.36,35.6,37.74,-2.14,-5.6704,120907.0,569755.97876,46.31,0.7687324552,qfq,eastmoney
002975.SZ,20250811,35.27,35.35,33.44,33.82,35.6,-1.78,-5.0,141402.0,626433.13402,44.01,0.7684617132,qfq,eastmoney
002975.SZ,20250812,33.82,33.92,33.19,33.82,33.82,0.0,0.0,72595.0,316184.02496,44.0,0.7686363636,qfq,eastmoney
002975.SZ,20250813,34.02,37.21,33.19,37.21,33.82,3.39,10.0237,135014.0,619033.44901,48.4,0.7688016529,qfq,eastmoney
002975.SZ,20250814,38.47,40.09,36.13,37.28,37.21,0.07,0.1881,182740.0,902478.33049,48.5,0.7686597938,qfq,eastmoney
002975.SZ,20250815,37.51,38.73,36.52,38.48,37.28,1.2,3.2189,122710.0,605813.74622,50.05,0.7688311688,qfq,eastmoney
002975.SZ,20250818,39.29,40.74,38.31,38.66,38.48,0.18,0.4678,139570.0,717447.94463,50.29,0.7687413005,qfq,eastmoney
002975.SZ,20250819,38.45,39.69,37.93,38.75,38.66,0.09,0.2328,86189.0,434135.50776,50.4,0.7688492063,qfq,eastmoney
002975.SZ,20250820,37.67,38.6,36.78,37.1,38.75,-1.65,-4.2581,87247.0,424328.69295,48.26,0.7687525901,qfq,eastmoney
002975.SZ,20250821,36.99,37.24,35.97,36.71,37.1,-0.39,-1.0512,60086.0,286174.68971,47.76,0.7686348409,qfq,eastmoney
002975.SZ,20250822,36.74,36.9,35.97,36.0,36.71,-0.71,-1.9341,59872.0,281958.02769,46.83,0.7687379885,qfq,eastmoney
002975.SZ,20250825,36.32,38.42,36.13,36.91,36.0,0.91,2.5278,94093.0,455462.04151,48.02,0.7686380675,qfq,eastmoney
002975.SZ,20250826,36.21,36.92,36.21,36.47,36.91,-0.44,-1.1921,45374.0,215740.45027,47.44,0.7687605396,qfq,eastmoney
002975.SZ,20250827,36.44,37.56,35.59,35.59,36.47,-0.88,-2.4129,59605.0,284433.47853,46.3,0.7686825054,qfq,eastmoney
002975.SZ,20250828,35.33,36.71,34.83,36.67,35.59,1.08,3.0346,59702.0,278419.94866,47.71,0.7686019702,qfq,eastmoney
002975.SZ,20250829,36.13,37.02,35.74,36.9,36.67,0.23,0.6272,49309.0,234109.14754,48.0,0.76875,qfq,eastmoney
002975.SZ,20250901,40.59,40.59,40.59,40.59,36.9,3.69,10.0,39204.0,206998.0176,52.8,0.76875,qfq,eastmoney
002975.SZ,20250902,44.66,44.66,44.66,44.66,40.59,4.07,10.0271,20087.0,116667.6192,58.08,0.7689393939,qfq,eastmoney
002975.SZ,20250903,49.14,49.14,46.09,49.14,44.66,4.48,10.0313,252854.0,1592918.38539,63.89,0.7691344498,qfq,eastmoney
002975.SZ,20250904,50.08,52.29,46.61,48.29,49.14,-0.85,-1.7298,281741.0,1803908.00237,62.79,0.7690715082,qfq,eastmoney
002975.SZ,20250905,47.53,47.72,43.47,45.83,48.29,-2.46,-5.0942,194036.0,1137607.98498,59.6,0.7689597315,qfq,eastmoney
002975.SZ,20250908,49.04,49.04,43.06,44.29,45.83,-1.54,-3.3602,152322.0,889137.78726,57.6,0.7689236111,qfq,eastmoney
