ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600900.SH,20230717,22.48,22.54,22.32,22.44,22.47,-0.03,-0.1335,196928.52,441213.586
600900.SH,20230718,22.47,22.53,22.38,22.41,22.44,-0.03,-0.1337,268521.18,602593.953
600900.SH,20230719,22.32,22.52,22.32,22.5,22.41,0.09,0.4016,330672.42,743226.348
600900.SH,20230720,22.58,22.61,22.4,22.4,22.5,-0.1,-0.4444,434410.48,978367.222
600900.SH,20230721,21.6,21.85,21.56,21.6,21.58,0.02,0.0927,550370.5,1192718.568
600900.SH,20230724,21.5,21.68,21.47,21.56,21.6,-0.04,-0.1852,276959.1,596740.19
600900.SH,20230725,21.64,21.64,21.25,21.33,21.56,-0.23,-1.0668,764038.11,1631583.708
600900.SH,20230726,21.33,21.4,21.22,21.39,21.33,0.06,0.2813,482595.84,1028987.379
600900.SH,20230727,21.37,21.49,21.2,21.23,21.39,-0.16,-0.748,413651.68,882205.138
600900.SH,20230728,21.22,21.39,21.14,21.34,21.23,0.11,0.5181,589361.12,1253797.045
600900.SH,20230731,21.33,21.65,21.33,21.46,21.34,0.12,0.5623,668329.72,1436470.249
600900.SH,20230801,21.5,21.72,21.45,21.72,21.46,0.26,1.2116,489135.43,1055453.761
600900.SH,20230802,21.7,21.72,21.52,21.59,21.72,-0.13,-0.5985,322538.5,696646.435
600900.SH,20230803,21.64,21.7,21.54,21.66,21.59,0.07,0.3242,341634.38,739362.661
600900.SH,20230804,21.66,21.82,21.48,21.54,21.66,-0.12,-0.554,403813.32,871899.356
600900.SH,20230807,21.55,21.95,21.52,21.92,21.54,0.38,1.7642,553820.78,1208238.982
600900.SH,20230808,21.84,22.11,21.84,22.1,21.92,0.18,0.8212,388447.48,855559.361
600900.SH,20230809,22.09,22.16,21.81,22.11,22.1,0.01,0.0452,415777.14,915613.751
600900.SH,20230810,22.11,22.16,21.97,22.09,22.11,-0.02,-0.0905,230600.3,509011.35
600900.SH,20230811,22.08,22.11,21.75,21.75,22.09,-0.34,-1.5392,320195.4,700996.136
600900.SH,20230814,21.7,21.95,21.55,21.81,21.75,0.06,0.2759,550766.35,1197466.595
600900.SH,20230815,21.8,22.08,21.76,22.02,21.81,0.21,0.9629,456950.84,1005038.904
600900.SH,20230816,22.03,22.07,21.81,21.87,22.02,-0.15,-0.6812,251788.33,551426.663
600900.SH,20230817,21.82,22.14,21.77,22.12,21.87,0.25,1.1431,372769.97,819974.852
600900.SH,20230818,22.06,22.27,22.05,22.06,22.12,-0.06,-0.2712,286026.55,633082.568
600900.SH,20230821,22.06,22.15,21.85,21.85,22.06,-0.21,-0.9519,311022.19,684516.265
