ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688981.SH,20230717,49.16,49.46,48.6,48.77,49.46,-0.69,-1.3951,165078.7,806855.842
688981.SH,20230718,49.0,50.75,49.0,49.7,48.77,0.93,1.9069,278801.12,1394187.855
688981.SH,20230719,49.5,49.58,48.88,49.15,49.7,-0.55,-1.1066,160502.93,788838.35
688981.SH,20230720,49.33,49.55,49.02,49.29,49.15,0.14,0.2848,130655.89,644076.801
688981.SH,20230721,49.01,49.24,48.88,49.0,49.29,-0.29,-0.5884,125845.18,617119.609
688981.SH,20230724,48.88,49.51,48.84,49.0,49.0,0.0,0.0,113749.78,559330.693
688981.SH,20230725,49.66,49.8,49.23,49.77,49.0,0.77,1.5714,179668.83,890948.323
688981.SH,20230726,49.66,50.18,49.54,50.15,49.77,0.38,0.7635,161153.19,803412.947
688981.SH,20230727,50.01,50.14,49.2,49.39,50.15,-0.76,-1.5155,163390.62,812613.124
688981.SH,20230728,49.03,50.35,48.99,50.26,49.39,0.87,1.7615,186980.54,933055.645
688981.SH,20230731,50.31,51.38,50.28,51.36,50.26,1.1,2.1886,259441.37,1324877.472
688981.SH,20230801,51.4,51.57,50.49,50.72,51.36,-0.64,-1.2461,181103.14,921404.966
688981.SH,20230802,50.87,51.12,50.66,50.83,50.72,0.11,0.2169,108139.8,549979.976
688981.SH,20230803,50.7,51.18,50.18,50.91,50.83,0.08,0.1574,120481.76,613432.104
688981.SH,20230804,51.37,51.61,51.01,51.1,50.91,0.19,0.3732,171008.1,875914.545
688981.SH,20230807,51.12,51.18,49.06,49.26,51.1,-1.84,-3.6008,324039.42,1610428.094
688981.SH,20230808,49.12,49.9,48.98,49.47,49.26,0.21,0.4263,161479.77,796863.741
688981.SH,20230809,49.3,49.59,48.46,48.64,49.47,-0.83,-1.6778,179610.32,878532.354
688981.SH,20230810,48.66,49.0,48.34,48.47,48.64,-0.17,-0.3495,141846.13,688655.014
688981.SH,20230811,48.85,48.95,46.91,46.92,48.47,-1.55,-3.1979,318555.53,1514515.991
688981.SH,20230814,46.58,47.36,46.3,47.34,46.92,0.42,0.8951,135852.84,638638.985
688981.SH,20230815,47.47,47.75,46.91,47.52,47.34,0.18,0.3802,129261.12,612785.218
688981.SH,20230816,47.5,48.09,47.3,47.55,47.52,0.03,0.0631,137536.66,656989.174
688981.SH,20230817,47.3,48.25,46.71,48.15,47.55,0.6,1.2618,134232.74,642153.302
688981.SH,20230818,48.78,48.86,47.87,48.01,48.15,-0.14,-0.2908,147357.92,712243.184
688981.SH,20230821,47.9,48.59,47.63,47.68,48.01,-0.33,-0.6874,111878.04,539061.516
688981.SH,20230822,47.87,48.97,47.6,48.82,47.68,1.14,2.3909,202560.83,980415.331
688981.SH,20230823,48.54,48.99,47.76,47.89,48.82,-0.93,-1.905,157167.14,764488.486
688981.SH,20230824,48.13,48.94,47.78,48.62,47.89,0.73,1.5243,128400.1,621822.144
688981.SH,20230825,48.4,48.64,47.69,48.3,48.62,-0.32,-0.6582,136746.27,657417.62
688981.SH,20230828,50.72,50.98,48.52,48.55,48.3,0.25,0.5176,239093.76,1184020.365
688981.SH,20230829,48.61,51.0,48.61,51.0,48.55,2.45,5.0463,395939.38,1990118.389
688981.SH,20230830,53.98,54.54,52.32,52.94,51.0,1.94,3.8039,711224.89,3804531.953
688981.SH,20230831,52.6,54.79,52.3,54.24,52.94,1.3,2.4556,567917.73,3071449.764
688981.SH,20230901,54.38,54.68,52.76,53.68,54.24,-0.56,-1.0324,372842.5,1997027.51
688981.SH,20230904,53.9,56.9,53.27,56.9,53.68,3.22,5.9985,550280.87,3016678.636
688981.SH,20230905,57.36,58.66,55.15,55.63,56.9,-1.27,-2.232,854584.34,4880846.191
688981.SH,20230906,55.16,57.4,54.81,56.83,55.63,1.2,2.1571,655365.08,3677819.121
688981.SH,20230907,55.88,55.88,51.96,52.12,56.83,-4.71,-8.2879,847808.82,4541997.493
688981.SH,20230908,52.06,53.24,51.41,52.5,52.12,0.38,0.7291,493697.7,2586774.083
688981.SH,20230911,52.58,52.92,51.66,52.06,52.5,-0.44,-0.8381,385280.76,2016487.945
688981.SH,20230912,52.0,52.2,51.5,51.52,52.06,-0.54,-1.0373,240089.81,1242870.692
688981.SH,20230913,51.4,51.88,50.32,50.76,51.52,-0.76,-1.4752,300129.06,1528682.411
688981.SH,20230914,50.71,51.58,50.51,50.77,50.76,0.01,0.0197,231068.66,1177349.99
688981.SH,20230915,50.93,52.63,50.61,51.7,50.77,0.93,1.8318,439800.23,2280275.725
688981.SH,20230918,51.32,51.37,48.42,49.63,51.7,-2.07,-4.0039,471020.93,2349628.738
688981.SH,20230919,49.53,50.13,49.18,49.35,49.63,-0.28,-0.5642,219406.77,1087749.217
688981.SH,20230920,49.01,49.65,48.98,49.34,49.35,-0.01,-0.0203,123818.74,611055.535
688981.SH,20230921,49.3,49.99,49.21,49.5,49.34,0.16,0.3243,150680.2,748416.744
688981.SH,20230922,49.6,51.38,49.41,51.2,49.5,1.7,3.4343,282187.35,1425416.501
688981.SH,20230925,51.21,51.98,50.86,51.33,51.2,0.13,0.2539,215607.07,1109448.901
688981.SH,20230926,51.2,51.2,50.01,50.06,51.33,-1.27,-2.4742,186902.21,941128.211
688981.SH,20230927,50.18,51.0,50.07,50.66,50.06,0.6,1.1986,151176.37,765522.214
688981.SH,20230928,50.7,51.42,50.25,51.15,50.66,0.49,0.9672,176075.65,896776.613
688981.SH,20231009,50.8,51.48,50.3,50.72,51.15,-0.43,-0.8407,159837.08,812288.923
688981.SH,20231010,50.73,51.65,50.73,50.83,50.72,0.11,0.2169,167263.57,856740.39
688981.SH,20231011,50.9,54.29,50.5,54.2,50.83,3.37,6.6299,461001.08,2419356.855
688981.SH,20231012,53.75,54.19,53.01,53.69,54.2,-0.51,-0.941,358582.79,1920432.018
688981.SH,20231013,53.17,55.88,53.06,54.56,53.69,0.87,1.6204,500164.05,2741423.103
688981.SH,20231016,54.3,55.1,53.05,53.1,54.56,-1.46,-2.676,236187.74,1270862.239
688981.SH,20231017,53.1,56.34,52.7,54.4,53.1,1.3,2.4482,347672.48,1896488.307
688981.SH,20231018,55.84,56.73,54.48,54.57,54.4,0.17,0.3125,442979.0,2456939.88
688981.SH,20231019,54.13,57.28,54.0,56.03,54.57,1.46,2.6755,752741.44,4228377.193
688981.SH,20231020,55.61,58.15,55.61,57.1,56.03,1.07,1.9097,707396.09,4059007.779
688981.SH,20231023,56.88,57.74,55.5,56.79,57.1,-0.31,-0.5429,483074.64,2737141.609
688981.SH,20231024,56.79,57.1,53.36,55.05,56.79,-1.74,-3.0639,480799.55,2653840.641
